ORIGIN,DEST,CRS_ELAPSED_TIME
ABE,BNA,126.0
ABE,CLT,112.0
ABE,DEN,241.0
ABE,FLL,174.0
ABE,MCO,152.0
ABE,MLB,154.0
ABE,MYR,100.0
ABE,ORD,152.0
ABE,PGD,173.0
ABE,PIE,166.0
ABE,RSW,175.0
ABE,SFB,152.0
ABE,SRQ,168.0
ABI,DFW,61.0
ABQ,ATL,185.0
ABQ,AUS,105.0
ABQ,BNA,160.0
ABQ,BUR,125.0
ABQ,BWI,220.0
ABQ,CLT,218.0
ABQ,DAL,105.0
ABQ,DEN,85.0
ABQ,DFW,110.0
ABQ,DTW,190.0
ABQ,HOU,125.0
ABQ,IAD,224.0
ABQ,IAH,128.0
ABQ,JFK,251.0
ABQ,LAS,100.0
ABQ,LAX,133.0
ABQ,LGB,120.0
ABQ,MCI,115.0
ABQ,MCO,215.0
ABQ,MDW,160.0
ABQ,MSP,153.0
ABQ,OAK,150.0
ABQ,ORD,179.0
ABQ,PDX,180.0
ABQ,PHL,242.5
ABQ,PHX,85.0
ABQ,SAN,115.0
ABQ,SAT,100.0
ABQ,SEA,196.0
ABQ,SFO,164.0
ABQ,SLC,108.0
ABR,MSP,79.0
ABY,ATL,68.0
ACK,BOS,56.0
ACK,CLT,149.0
ACK,DCA,104.0
ACK,HPN,64.0
ACK,JFK,72.0
ACK,LGA,77.0
ACK,ORD,203.0
ACK,PHL,95.0
ACT,BHM,111.0
ACT,DFW,61.0
ACV,DEN,164.0
ACV,LAX,117.0
ACV,SFO,79.0
ACY,FLL,165.0
ACY,MCO,155.0
ACY,MIA,165.0
ACY,MYR,88.0
ACY,PBI,157.0
ACY,RSW,169.0
ACY,SFB,148.0
ACY,TPA,158.0
ADK,ANC,168.0
ADQ,ANC,57.0
AEX,ATL,108.0
AEX,DFW,86.0
AGS,ATL,67.0
AGS,AUS,177.0
AGS,BOS,157.0
AGS,CLT,72.0
AGS,DCA,100.0
AGS,DFW,177.0
AGS,DTW,118.0
AGS,LGA,135.0
AGS,MIA,106.0
AGS,MSP,170.0
AGS,ORD,143.0
AGS,PHL,124.0
AGS,PHX,272.0
AKN,ANC,71.0
ALB,ATL,161.0
ALB,BNA,145.0
ALB,BWI,80.0
ALB,CLT,136.0
ALB,DCA,97.0
ALB,DEN,250.0
ALB,DFW,236.0
ALB,DTW,110.0
ALB,EWR,82.0
ALB,FLL,197.0
ALB,LAS,325.0
ALB,MCO,185.0
ALB,MDW,130.0
ALB,MIA,226.0
ALB,MYR,128.0
ALB,ORD,156.0
ALB,PGD,198.0
ALB,PIE,189.0
ALB,RSW,200.0
ALB,SFB,174.0
ALB,SRQ,195.0
ALB,TPA,190.0
ALO,ORD,84.0
AMA,AUS,80.0
AMA,DAL,75.0
AMA,DEN,97.0
AMA,DFW,77.0
AMA,HOU,105.0
AMA,IAH,116.0
AMA,LAS,135.0
ANC,ADK,190.0
ANC,ADQ,61.0
ANC,AKN,69.0
ANC,ATL,411.0
ANC,BET,82.0
ANC,BRW,120.0
ANC,CDV,55.0
ANC,DEN,318.0
ANC,DFW,390.0
ANC,DLG,75.0
ANC,DTW,375.0
ANC,EWR,419.0
ANC,FAI,65.0
ANC,HNL,377.0
ANC,IAD,417.0
ANC,IAH,417.0
ANC,JFK,433.0
ANC,JNU,101.0
ANC,KOA,388.0
ANC,LAS,313.0
ANC,LAX,321.0
ANC,MSP,325.0
ANC,OGG,386.0
ANC,OME,97.0
ANC,ORD,377.0
ANC,OTZ,99.0
ANC,PDX,216.0
ANC,PHX,332.0
ANC,SAN,324.0
ANC,SCC,106.0
ANC,SEA,212.0
ANC,SFO,282.0
ANC,SLC,276.0
ANC,SMF,264.0
APN,DTW,70.0
ASE,ATL,201.0
ASE,AUS,147.0
ASE,CLT,224.0
ASE,DEN,73.0
ASE,DFW,137.0
ASE,IAH,167.0
ASE,LAX,150.0
ASE,ORD,180.0
ASE,PHX,120.0
ASE,SFO,165.0
ATL,ABQ,200.0
ATL,ABY,60.0
ATL,AEX,104.0
ATL,AGS,57.0
ATL,ALB,134.0
ATL,ANC,452.0
ATL,ASE,228.0
ATL,ATW,133.0
ATL,AUS,150.0
ATL,AVL,59.0
ATL,BDL,135.0
ATL,BGR,164.0
ATL,BHM,53.0
ATL,BMI,106.0
ATL,BNA,68.0
ATL,BOI,266.0
ATL,BOS,157.0
ATL,BTR,94.0
ATL,BTV,148.0
ATL,BUF,120.0
ATL,BUR,290.0
ATL,BWI,107.0
ATL,BZN,244.0
ATL,CAE,59.0
ATL,CHA,51.0
ATL,CHO,87.0
ATL,CHS,70.0
ATL,CID,125.0
ATL,CLE,105.0
ATL,CLT,74.0
ATL,CMH,90.0
ATL,COS,188.0
ATL,CRW,84.0
ATL,CVG,84.0
ATL,DAB,78.0
ATL,DAL,135.0
ATL,DAY,90.0
ATL,DCA,105.0
ATL,DEN,200.0
ATL,DFW,148.0
ATL,DHN,62.0
ATL,DSM,132.0
ATL,DTW,117.0
ATL,ECP,66.0
ATL,EGE,215.0
ATL,ELP,197.0
ATL,EVV,86.0
ATL,EWR,132.0
ATL,EYW,112.0
ATL,FAR,187.0
ATL,FAT,287.0
ATL,FAY,79.0
ATL,FLL,112.0
ATL,FSD,156.0
ATL,FWA,105.0
ATL,GEG,284.0
ATL,GNV,71.0
ATL,GPT,83.0
ATL,GRB,128.0
ATL,GRR,112.0
ATL,GSO,74.0
ATL,GSP,55.5
ATL,HDN,228.0
ATL,HHH,75.0
ATL,HNL,599.0
ATL,HOU,130.0
ATL,HPN,139.0
